SA3_CODE_2021,SA3_NAME_2021,population_total,sa3_area_km2,population_density_persons_km2,median_age_years,employed_labour_force_pct,families_total_no,families_per_occupied_private_dwelling_pct,owner_occupier_pct,owner_outright_pct,owner_mortgage_shared_equity_pct,renter_pct,language_other_than_english_home_pct,core_activity_assistance_pct,long_term_health_condition_selected_pct,atsi_language_home_pct,SDA Dwelling Existing,SDA Dwelling Legacy,SDA Dwelling New Build,SDA Dwelling New Build (Refurbishment),SDA Dwelling Total,sda_dwellings_per_10000_residents,rank__population_density_persons_km2,rank__median_age_years,rank__employed_labour_force_pct,rank__owner_occupier_pct,rank__owner_outright_pct,rank__owner_mortgage_shared_equity_pct,rank__renter_pct,rank__language_other_than_english_home_pct,rank__core_activity_assistance_pct,rank__long_term_health_condition_selected_pct,rank__atsi_language_home_pct,rank__SDA Dwelling Existing,rank__SDA Dwelling Legacy,rank__SDA Dwelling New Build,rank__SDA Dwelling New Build (Refurbishment),rank__SDA Dwelling Total,rank__sda_dwellings_per_10000_residents
20101,Ballarat,116201,448.3487,259.18,38,95.29,30499,67.21,67.1,33.02,34.08,31.49,6.91,7.32,39.02,1.43,38,4,118,2,162,13.941360229257924,35,42,46,50,44,33,16,44,13,6,33,10,6,2,10,1,1
20102,Creswick - Daylesford - Ballan,30975,3666.673,8.45,48,96.33,8463,70.63,84.68,45.2,39.48,12.96,4.29,5.86,37.3,0.81,0,0,5,0,5,1.6142050040355127,53,5,17,5,12,17,61,58,38,14,54,61,39,45,18,60,53
20103,Maryborough - Pyrenees,26759,6172.454,4.34,50,95.19,7072,65.31,81.51,48.9,32.61,16.03,2.65,8.92,42.2,0.92,2,1,0,0,3,1.1211181284801375,59,2,48,9,3,41,58,66,1,1,51,57,25,60,18,61,60
20201,Bendigo,103034,287.4437,358.45,39,95.7,27171,67.88,68.63,33.81,34.81,30.17,7.19,7.37,38.99,1.86,23,2,28,0,53,5.143933070636876,33,36,30,47,41,27,20,43,10,7,23,21,16,13,18,20,17
20202,Heathcote - Castlemaine - Kyneton,52500,3920.938,13.39,48,96.52,14394,71.45,84.29,45.36,38.93,14.03,3.65,5.68,37.22,1.75,4,1,3,0,8,1.5238095238095237,49,5,12,7,9,20,60,62,42,15,25,52,25,50,18,54,55
20203,Loddon - Elmore,12224,7633.5241,1.6,50,95.57,3208,69.38,84.4,52.19,32.2,11.73,2.77,6.97,38.35,0.0,0,0,0,0,0,0.0,65,2,34,6,1,45,63,65,20,9,61,61,39,60,18,65,65
20301,Barwon - West,22483,2579.8387,8.71,39,97.39,6290,84.33,88.27,36.68,51.58,10.14,3.0,5.0,32.68,0.0,0,0,3,0,3,1.334341502468532,51,36,1,2,32,3,65,63,51,35,61,61,39,50,18,61,56
20302,Geelong,211986,918.8913,230.7,38,95.33,55293,68.29,67.65,32.57,35.07,30.6,13.56,6.78,35.55,1.03,51,3,82,11,147,6.934420197560216,38,42,44,48,45,25,17,36,23,22,46,2,10,4,2,2,5
20303,Surf Coast - Bellarine Peninsula,93417,929.969,100.45,45,96.72,26068,74.67,77.93,42.31,35.63,19.9,4.9,4.93,34.7,1.61,1,0,14,0,15,1.6057034586852499,40,15,6,17,20,22,52,50,53,28,26,60,39,27,18,48,54
20401,Upper Goulburn Valley,60002,13959.3184,4.3,47,96.28,16000,69.0,78.03,43.94,34.09,19.44,4.74,6.68,36.93,1.05,3,0,1,2,6,0.9999666677777408,60,10,18,15,14,32,54,52,25,17,45,54,39,54,10,58,61
20402,Wangaratta - Benalla,48454,6545.573,7.4,47,96.96,13151,67.34,75.77,43.55,32.22,22.31,4.46,7.51,39.73,1.51,20,0,5,0,25,5.159532752713914,55,10,4,25,15,44,43,55,6,2,28,24,39,45,18,38,16
20403,Wodonga - Alpine,76475,13501.5851,5.66,42,96.55,20592,70.85,71.94,37.16,34.78,26.14,5.84,6.48,36.86,1.88,29,1,0,0,30,3.9228506047728016,56,22,9,40,29,28,27,46,28,19,21,15,25,60,18,33,27
20501,Baw Baw,57775,3933.8416,14.69,41,96.18,15877,73.92,79.13,39.85,39.28,18.96,4.91,6.54,37.35,1.92,12,3,7,0,22,3.8078753786239723,48,26,21,11,24,19,55,49,27,13,19,38,10,41,18,41,32
20502,Gippsland - East,48830,21713.2073,2.25,52,95.61,13314,67.19,77.97,50.24,27.74,19.94,4.04,7.7,39.63,1.19,9,1,0,0,10,2.047921359819783,63,1,33,16,2,61,51,59,5,4,39,41,25,60,18,53,47
20503,Gippsland - South West,71548,4381.6191,16.33,50,96.46,19452,67.7,79.19,48.01,31.18,18.72,4.56,6.8,38.74,0.49,5,1,1,0,7,0.978364175099234,47,2,15,10,4,47,57,53,22,8,59,48,25,54,18,57,62
20504,Latrobe Valley,77168,1479.6675,52.15,42,93.38,20220,66.16,72.63,38.13,34.5,26.02,6.64,8.39,39.64,1.44,23,1,2,0,26,3.369272237196766,44,22,61,38,27,29,29,45,2,3,32,21,25,52,18,36,36
20505,Wellington,45525,10044.7738,4.53,44,95.32,11945,68.29,76.56,42.97,33.59,21.09,3.95,7.1,36.88,0.97,14,1,5,0,20,4.393190554640308,58,19,45,19,17,38,47,60,18,18,49,32,25,45,18,44,25
20601,Brunswick - Coburg,89874,20.4136,4402.65,35,95.39,22045,58.05,55.9,26.56,29.34,42.93,27.15,5.65,34.3,2.89,10,2,14,15,41,4.561942274740192,4,55,42,61,56,59,6,21,43,30,8,39,16,27,1,26,22
20602,Darebin - South,53270,14.0275,3797.54,37,95.75,13288,60.62,59.32,29.42,29.9,39.47,21.46,5.53,33.78,5.75,20,2,11,0,33,6.194856391965459,7,48,28,59,52,57,8,28,44,32,2,24,16,33,18,30,8
20603,Essendon,68712,18.2149,3772.3,37,95.41,17516,62.1,58.27,28.61,29.66,40.54,25.69,4.94,30.23,1.48,3,0,35,0,38,5.530329491209686,8,48,40,60,53,58,7,23,52,47,30,54,39,11,18,28,13
20604,Melbourne City,149601,31.3927,4765.47,30,92.36,30685,43.37,29.99,13.75,16.24,68.01,46.04,2.32,21.8,2.85,2,0,56,0,58,3.876979431955669,2,66,64,66,66,66,1,7,66,66,9,57,39,6,18,16,29
20605,Port Phillip,101956,25.8641,3941.99,38,95.55,24252,49.75,46.7,21.24,25.46,52.01,21.05,3.65,28.44,2.14,5,1,24,0,30,2.9424457609164736,5,42,36,63,62,63,4,29,64,56,16,48,25,16,18,33,43
20606,Stonnington - West,62539,11.9292,5242.51,35,96.18,14644,47.66,45.63,24.08,21.55,52.66,21.96,3.43,28.35,0.0,0,1,11,0,12,1.9188026671357072,1,55,21,64,57,65,3,25,65,57,61,61,25,33,18,51,49
20607,Yarra,91060,20.6159,4416.98,34,96.21,21241,51.8,44.67,20.49,24.18,53.82,20.05,3.95,31.49,6.54,3,0,16,0,19,2.086536349659565,3,60,20,65,63,64,2,30,63,41,1,54,39,21,18,46,46
20701,Boroondara,167900,60.0159,2797.59,40,95.66,44611,71.13,69.11,39.1,30.01,29.03,28.72,4.48,29.31,2.52,31,4,17,0,52,3.097081596188207,11,30,32,46,25,56,21,20,58,52,12,14,6,20,18,22,42
20702,Manningham - West,98386,48.6725,2021.39,43,94.5,28416,79.06,74.57,43.43,31.15,22.93,52.76,6.56,29.09,0.0,13,0,7,0,20,2.0328095460736284,18,20,51,30,16,48,39,4,26,53,61,35,39,41,18,44,48
20703,Whitehorse - West,107187,38.0552,2816.62,38,94.3,28112,69.68,65.0,34.91,30.09,32.42,41.76,5.44,28.99,1.23,38,5,15,0,58,5.41110395850243,10,42,54,55,38,54,13,11,47,54,38,10,3,25,18,16,15
20801,Bayside,101306,37.2111,2722.47,45,96.08,27964,73.71,75.84,41.74,34.1,22.51,15.44,4.67,30.59,4.46,27,3,11,7,48,4.7381201508301585,13,15,23,24,21,31,41,35,56,46,3,17,10,33,3,24,20
20802,Glen Eira,156469,40.7003,3844.42,38,95.76,41657,68.4,64.29,31.85,32.44,34.2,31.39,4.86,28.99,2.28,37,6,27,0,70,4.473729620563818,6,42,27,57,47,42,10,17,54,54,15,12,2,14,18,9,24
20803,Kingston,122693,69.8632,1756.19,41,96.01,33904,70.14,72.92,33.63,39.3,25.49,19.32,5.53,32.12,0.0,41,2,13,5,61,4.971758780044501,21,26,24,36,42,18,30,32,44,38,61,7,16,30,6,13,18
20804,Stonnington - East,42162,13.7218,3072.63,39,95.41,10847,65.74,66.78,36.0,30.78,31.85,22.47,4.42,29.37,0.0,4,0,10,0,14,3.320525591765097,9,36,40,53,34,51,14,24,60,51,61,52,39,38,18,50,38
20901,Banyule,126236,62.6133,2016.12,40,95.68,34785,72.98,72.51,37.05,35.45,26.03,21.82,5.88,33.44,2.08,41,4,30,3,78,6.17890300706613,19,30,31,39,30,23,28,26,37,33,17,7,6,12,8,8,9
20902,Darebin - North,95299,39.4437,2416.08,37,94.01,24430,65.04,60.19,30.1,30.09,38.28,38.38,7.25,31.68,4.23,46,2,11,1,60,6.295973724802988,15,48,59,58,50,54,9,13,15,40,5,3,16,33,14,14,7
20903,Nillumbik - Kinglake,67105,751.7682,89.26,42,96.54,19170,85.84,90.08,40.97,49.11,8.75,9.27,4.04,31.91,0.68,6,0,2,0,8,1.1921615378883839,43,22,11,1,22,6,66,41,62,39,56,45,39,52,18,54,58
20904,Whittlesea - Wallan,252026,997.4395,252.67,35,94.2,68557,82.4,73.9,27.64,46.26,24.75,42.66,6.14,27.93,1.88,53,1,42,2,98,3.8884876957139345,36,55,56,34,55,11,31,10,32,59,21,1,25,9,10,5,28
21001,Keilor,61687,42.4249,1454.03,42,95.5,17375,76.36,78.22,44.25,33.97,19.97,30.6,7.42,32.2,1.86,10,0,1,0,11,1.7831958111109312,23,22,38,13,13,35,50,18,8,37,23,39,39,54,18,52,51
21002,Macedon Ranges,32969,992.1072,33.23,41,96.94,9292,82.76,86.61,37.32,49.29,12.04,4.35,4.47,32.6,2.7,0,0,1,1,2,0.6066304710485608,45,26,5,4,28,5,62,56,59,36,11,61,39,54,14,63,64
21003,Moreland - North,80537,30.3779,2651.17,35,94.37,20785,70.37,65.17,30.77,34.39,33.4,42.82,7.36,29.43,1.51,20,3,4,0,27,3.352496368128935,14,55,53,54,48,30,12,9,11,49,28,24,10,48,18,35,37
21004,Sunbury,45064,260.6846,172.87,37,95.52,12699,77.77,78.52,29.87,48.65,20.57,11.37,6.13,36.21,0.7,6,0,0,0,6,1.331439730161548,39,48,37,12,51,8,48,38,33,21,55,45,39,60,18,58,57
21005,Tullamarine - Broadmeadows,204071,294.0938,693.9,33,91.76,52443,85.49,71.91,23.35,48.56,26.84,56.41,7.03,25.56,1.45,8,0,16,0,24,1.1760612727923125,30,62,66,41,59,10,26,3,19,63,31,42,39,21,18,40,59
21101,Knox,159148,118.3018,1345.27,40,95.57,45157,78.63,76.2,34.68,41.53,21.52,28.74,5.76,33.38,0.98,21,0,19,1,41,2.5762183627818134,25,30,34,22,39,15,44,19,39,34,47,23,39,18,14,26,44
